method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E0_past_7_days_same_hour_mean,MMSP_published_series,51,24,raw,0.05880315974354744,0.11592641472816467,3591.697021484375,820.8500366210938,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,51,24,post,0.05880315974354744,0.11592641472816467,3591.697021484375,820.8500366210938,61080,2545
E1_original_chronos2,MMSP_published_series,51,1,raw,0.03413603827357292,0.07161969691514969,86.876220703125,13.054274559020996,2545,2545
E1_original_chronos2,MMSP_published_series,51,1,post,0.03412134572863579,0.07161957025527954,86.83882141113281,13.054226875305176,2545,2545
E1_original_chronos2,MMSP_published_series,51,4,raw,0.043879494071006775,0.09207925200462341,446.6932373046875,86.31202697753906,10180,2545
E1_original_chronos2,MMSP_published_series,51,4,post,0.04387092590332031,0.09207909554243088,446.60601806640625,86.31173706054688,10180,2545
E1_original_chronos2,MMSP_published_series,51,24,raw,0.05354905128479004,0.11242859810590744,3270.776123046875,772.062744140625,61080,2545
E1_original_chronos2,MMSP_published_series,51,24,post,0.053545109927654266,0.11242855340242386,3270.535400390625,772.0621948242188,61080,2545
E0_last_value,MMSP_published_series,68,1,raw,0.06746824085712433,0.11797346919775009,171.70668029785156,35.42064666748047,2545,2545
E0_last_value,MMSP_published_series,68,1,post,0.06746722757816315,0.1179734542965889,171.7041015625,35.42063903808594,2545,2545
E0_last_value,MMSP_published_series,68,4,raw,0.1404716968536377,0.23491650819778442,1430.0018310546875,561.7910766601562,10180,2545
E0_last_value,MMSP_published_series,68,4,post,0.14047066867351532,0.23491603136062622,1429.991455078125,561.788818359375,10180,2545
E0_last_value,MMSP_published_series,68,24,raw,0.26335033774375916,0.3823379874229431,16085.439453125,8928.81640625,61080,2545
E0_last_value,MMSP_published_series,68,24,post,0.263349324464798,0.3823375105857849,16085.376953125,8928.794921875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,1,raw,0.07393163442611694,0.16343051195144653,188.156005859375,67.97575378417969,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,1,post,0.07393062114715576,0.16343048214912415,188.15342712402344,67.97573852539062,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,4,raw,0.07393163442611694,0.16343049705028534,752.6240234375,271.9029846191406,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,4,post,0.07393062114715576,0.16343048214912415,752.6137084960938,271.9029541015625,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,24,raw,0.07381696254014969,0.16335640847682953,4508.740234375,1629.93896484375,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,68,24,post,0.07381594926118851,0.16335639357566833,4508.67822265625,1629.938720703125,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,1,raw,0.07753680646419525,0.15248259902000427,197.3311767578125,59.17365264892578,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,1,post,0.07753609120845795,0.15248259902000427,197.329345703125,59.17365264892578,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,4,raw,0.07753680646419525,0.15248259902000427,789.32470703125,236.6946258544922,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,4,post,0.07753608375787735,0.15248259902000427,789.3173217773438,236.6946258544922,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,24,raw,0.07756585627794266,0.15249459445476532,4737.72265625,1420.39111328125,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,68,24,post,0.0775650143623352,0.15249459445476532,4737.6708984375,1420.39111328125,61080,2545
E1_original_chronos2,MMSP_published_series,68,1,raw,0.03512607142329216,0.07898396998643875,89.3958511352539,15.876900672912598,2545,2545
E1_original_chronos2,MMSP_published_series,68,1,post,0.03511327877640724,0.07898367196321487,89.36329650878906,15.876779556274414,2545,2545
